verb,embedding_score,nouns,llm_score,tag,brief_reason,keep
abide,0.4711,"verdict,ruling,decision,outcome",2,better_answer_exists,nouns better suggest 'accept' or 'respect' than 'abide',False
abolish,0.4876,"slavery,emancipation,slave,equality",4,good,"slavery is historically abolished, clear connection",True
absorb,0.4705,"ultraviolet,wavelength,sunlight,infrared",4,good,"light/radiation can be absorbed, scientific context works",True
abstract,0.6473,"painting,painter,sculpture,sculptor",2,not_action,abstract feels more like adjective than action verb here,False
accompany,0.5611,"trip,journey,expedition,voyage",3,too_broad,nouns are travel types but don't clearly suggest accompanying,False
accumulate,0.4635,"liver,tumor,tissue,membrane",3,too_abstract,connection between body parts and accumulation unclear,False
accuse,0.4943,"rape,murder,killing,crime",4,good,people are accused of these crimes,True
ache,0.5225,"diarrhea,nausea,vomiting,stomach",3,better_answer_exists,symptoms better suggest 'hurt' or 'pain' than 'ache',False
acquire,0.5497,"acquisition,transaction,deal,merger",2,too_direct,acquisition is direct form of acquire,False
act,0.6548,"legislation,amendment,provision,bill",4,good,"legislative acts, clear connection",True
adhere,0.4861,"religion,ideology,doctrine,principle",4,good,people adhere to beliefs and principles,True
admire,0.5,"courage,bravery,brave,determination",3,shared_root,courage/bravery/brave share meaning,False
adopt,0.5055,"posture,stance,attitude,approach",4,good,one adopts positions and approaches,True
adore,0.5397,"goddess,divine,god,heaven",4,good,people adore deities,True
advance,0.5237,"cavalry,infantry,battalion,artillery",4,good,military units advance in battle,True
affirm,0.4862,"scripture,divine,salvation,god",3,too_abstract,connection between religious concepts and affirming unclear,False
afford,0.464,"buy,rent,pay,purchase",2,better_answer_exists,nouns better suggest financial actions than 'afford',False
alleviate,0.5328,"discomfort,distress,pain,anxiety",5,good,perfect - these conditions are alleviated,True
amend,0.5791,"repeal,legislation,bill,provision",4,good,laws and bills are amended,True
amuse,0.5748,"wit,satire,humor,comedy",4,good,these forms of humor amuse people,True
appeal,0.5296,"verdict,judgment,ruling,decision",5,good,perfect - legal decisions are appealed,True
appease,0.5584,"goddess,deity,god,emperor",4,good,people appease powerful figures,True
apply,0.4948,"visa,passport,citizenship,permit",5,good,perfect - one applies for these documents,True
approve,0.5611,"proposal,amendment,legislation,plan",5,good,perfect - these items are approved,True
arouse,0.6701,"hostility,resentment,anger,hatred",4,good,actions arouse these negative emotions,True
arrest,0.5913,"imprisonment,conviction,jail,prison",3,better_answer_exists,nouns better suggest 'imprison' or 'convict',False
ask,0.5792,"tell,say,want,know",2,too_broad,"verbs too general, don't specifically suggest asking",False
assert,0.5893,"primacy,dominance,supremacy,superiority",4,good,one asserts dominance and superiority,True
attach,0.4669,"brigadier,colonel,intelligence,commander",2,too_abstract,military ranks don't clearly suggest attaching,False
attain,0.4699,"enlightenment,salvation,immortality,happiness",4,good,people seek to attain these states,True
attend,0.5405,"school,graduation,college,student",4,good,people attend school and graduation,True
awaken,0.4877,"demon,creature,evil,monster",3,too_abstract,connection between creatures and awakening unclear,False
bail,0.538,"jail,probation,conviction,sentence",3,better_answer_exists,legal terms better suggest 'sentence' or 'convict',False
bake,0.5519,"bread,loaf,dough,flour",5,good,perfect - these are baked goods and ingredients,True
bandage,0.5449,"forehead,jaw,nose,ear",4,good,body parts that can be bandaged,True
barge,0.6027,"dock,wharf,pier,boat",2,better_answer_exists,nouns better suggest 'dock' or 'moor',False
bark,0.4922,"foliage,tree,elm,beech",2,better_answer_exists,tree parts better suggest 'grow' or tree names,False
batter,0.6921,"fielder,pitcher,catcher,shortstop",2,better_answer_exists,baseball positions better suggest 'play' or 'field',False
beg,0.4809,"ruler,sultan,throne,emperor",3,too_abstract,connection between royalty and begging unclear,False
beggar,0.5956,"prostitute,woman,boy,girl",1,not_action,"beggar is noun, not action verb",False
behold,0.4837,"thou,god,heaven,lord",3,too_abstract,"archaic religious terms, unclear connection",False
beset,0.5305,"strife,unrest,turmoil,controversy",4,good,people are beset by troubles,True
bid,0.5124,"reelection,incumbent,nomination,candidate",4,good,politicians bid for office,True
bind,0.7186,"peptide,protein,molecule,enzyme",4,good,molecules bind together,True
