category,mechanism,word1,word2,word3,word4,answer,coherence_score,hypernym_depth,bucket_size
yellow,wordnet_easy_hypernym,bishop,diocesan,pastor,preacher,clergyman,0.4727,6,26
yellow,wordnet_easy_hypernym,lavatory,shower,stool,toilet,plumbing fixture,0.4313,6,10
yellow,wordnet_easy_hypernym,apron,dock,pier,wharf,horizontal surface,0.4631,6,29
yellow,wordnet_easy_hypernym,catcher,fireman,shortstop,southpaw,ballplayer,0.3676,6,16
yellow,wordnet_easy_hypernym,bell,drum,piano,tambourine,percussion instrument,0.3547,8,8
yellow,wordnet_easy_hypernym,captain,deputy,inspector,lieutenant,lawman,0.3594,6,22
yellow,wordnet_easy_hypernym,head,instructor,lecturer,teacher,educator,0.3592,6,19
yellow,wordnet_easy_hypernym,baby,colt,filly,kitten,young mammal,0.4047,8,12
yellow,wordnet_easy_hypernym,infantryman,marine,redcoat,rifleman,enlisted person,0.3578,7,14
yellow,wordnet_easy_hypernym,hut,oasis,shanty,tent,shelter,0.3507,6,14
yellow,wordnet_easy_hypernym,abdominal,gastrocnemius,pecs,pectoralis,muscle,0.3682,7,10
yellow,wordnet_easy_hypernym,gun,shotgun,slug,sword,weapon,0.3602,8,40
yellow,wordnet_easy_hypernym,latex,paint,varnish,wash,coating,0.3573,6,17
yellow,wordnet_easy_hypernym,hitter,lefthander,shortstop,twirler,ballplayer,0.4332,6,16
yellow,wordnet_easy_hypernym,legume,potato,soybean,squash,vine,0.3700,8,13
yellow,wordnet_easy_hypernym,drummer,pianist,rocker,singer,musician,0.5125,6,24
yellow,wordnet_easy_hypernym,cartilage,intima,mucosa,tendon,animal tissue,0.4873,6,59
yellow,wordnet_easy_hypernym,chemist,doctor,physician,resident,health professional,0.3898,6,25
yellow,wordnet_easy_hypernym,accommodation,cottage,dwelling,mansion,housing,0.3525,6,34
yellow,wordnet_easy_hypernym,gilt,lacquer,varnish,watercolor,coating,0.3827,6,17
yellow,wordnet_easy_hypernym,coffeepot,crackle,porcelain,samovar,utensil,0.3645,7,14
yellow,wordnet_easy_hypernym,brow,fuzz,mane,mustache,hair,0.3606,7,26
yellow,wordnet_easy_hypernym,instructor,lecturer,master,tutor,educator,0.3876,6,19
yellow,wordnet_easy_hypernym,cowboy,cowman,fireman,wrangler,laborer,0.3740,7,21
yellow,wordnet_easy_hypernym,cabin,lodge,mansion,residence,dwelling,0.3954,7,16
yellow,wordnet_easy_hypernym,bishop,canon,dean,vicar,clergyman,0.3517,6,26
yellow,wordnet_easy_hypernym,castle,cottage,encampment,mansion,housing,0.4032,6,34
yellow,wordnet_easy_hypernym,flannel,pajama,tweed,white,trouser,0.3551,8,4
yellow,wordnet_easy_hypernym,camper,car,caravan,truck,wheeled vehicle,0.4131,7,55
yellow,wordnet_easy_hypernym,gut,jejunum,liver,stomach,internal organ,0.4040,6,11
yellow,wordnet_easy_hypernym,leg,pin,thigh,toe,extremity,0.3769,6,17
yellow,wordnet_easy_hypernym,headmaster,instructor,professor,teacher,educator,0.4278,6,19
