category,mechanism,word1,word2,word3,word4,answer,label,llm_label,llm_score,llm_reason
purple,compound_suffix,hatch,park,run,water,way,1,keep,4,"Forms natural compounds: hatchway, parkway, runway, waterway. All are recognizable terms."
purple,compound_prefix,borne,mail,plane,port,air,1,keep,5,"Excellent compound prefix group: airborne, airmail, airplane, airport. All very common words."
purple,compound_prefix,bone,drop,log,yard,back,1,keep,4,"Good compounds: backbone, backdrop, backlog, backyard. All natural and recognizable."
purple,verb_noun_association,eel,salmon,fish,shrimp,smelt,0,reject,2,"While 'smelt' can be a verb meaning to melt metal, it's not strongly suggested by these seafood nouns. 'Cook' or 'catch' would be more natural."
purple,compound_prefix,burn,light,rise,set,sun,1,keep,5,"Perfect compound prefix: sunburn, sunlight, sunrise, sunset. All very common words."
purple,compound_prefix,line,port,strip,way,air,1,keep,4,"Good compounds: airline, airport, airstrip, airway. All natural terms."
purple,compound_suffix,along,broad,country,sea,side,1,keep,4,"Natural compounds: alongside, broadside, countryside, seaside. All recognizable words."
purple,compound_prefix,land,made,owner,sick,home,1,keep,4,"Good compounds: homeland, homemade, homeowner, homesick. All common terms."
purple,anagram,caret,cater,crate,react,anagram,1,keep,4,"Clean anagram set with common words: caret, cater, crate, react. All recognizable."
purple,anagram,salve,selva,slave,valse,anagram,0,reject,2,"While valid anagrams, 'selva' and 'valse' are quite obscure. Most players wouldn't recognize these."
purple,compound_prefix,cast,hill,stream,wind,down,1,keep,4,"Good compounds: downcast, downhill, downstream, downwind. All natural terms."
purple,anagram,canter,nectar,recant,trance,anagram,1,keep,4,"Valid anagrams with reasonably common words: canter, nectar, recant, trance."
purple,compound_prefix,burn,down,rise,set,sun,1,keep,4,"Good compounds: sunburn, sundown, sunrise, sunset. All very common words."
purple,compound_prefix,club,fall,mare,time,night,1,keep,4,"Natural compounds: nightclub, nightfall, nightmare, nighttime. All recognizable."
purple,compound_prefix,arm,finger,runner,sight,fore,1,keep,4,"Good compounds: forearm, forefinger, forerunner, foresight. All common terms."
purple,compound_suffix,flash,high,search,sun,light,1,keep,4,"Natural compounds: flashlight, highlight, searchlight, sunlight. All recognizable."
purple,compound_prefix,arm,cast,head,sight,fore,1,keep,4,"Good compounds: forearm, forecast, forehead, foresight. All common words."
purple,compound_prefix,arm,finger,ground,sight,fore,1,keep,4,"Natural compounds: forearm, forefinger, foreground, foresight. All recognizable."
purple,compound_prefix,bow,coat,fall,storm,rain,1,keep,5,"Classic example: rainbow, raincoat, rainfall, rainstorm. Perfect compound prefix group."
purple,compound_suffix,draw,horse,paper,set,back,1,keep,4,"Good compounds: drawback, horseback, paperback, setback. All natural terms."
purple,anagram,cater,crate,react,recta,anagram,0,reject,2,'Recta' is too obscure/technical. Most players wouldn't recognize it as a valid word.
purple,verb_noun_association,script,poem,poetry,book,read,1,keep,4,All nouns strongly suggest 'read' as the associated verb. Natural connection.
purple,verb_noun_association,religion,ideology,doctrine,principle,adhere,0,reject,2,'Adhere' is not the most natural verb for these abstract nouns. 'Follow' or 'believe' would be more intuitive.
purple,compound_suffix,half,path,rail,run,way,1,keep,4,"Natural compounds: halfway, pathway, railway, runway. All common terms."
