verb,embedding_score,nouns,llm_score,tag,brief_reason,keep
abide,0.4711,"verdict,ruling,decision,outcome",2,wrong_sense,"These nouns relate to legal outcomes, not the sense of 'abide by' or 'tolerate'",False
abolish,0.4876,"slavery,emancipation,slave,equality",4,good,"Clear connection to abolishing slavery, though 'emancipation' and 'equality' are results rather than things abolished",True
absorb,0.4705,"ultraviolet,wavelength,sunlight,infrared",4,good,"Light/radiation terms that can be absorbed, natural scientific connection",True
abstract,0.6473,"painting,painter,sculpture,sculptor",3,too_broad,Art terms but abstract as adjective vs verb is ambiguous,False
accompany,0.5611,"trip,journey,expedition,voyage",4,good,Travel terms that one accompanies others on,True
accumulate,0.4635,"liver,tumor,tissue,membrane",3,too_abstract,Body parts don't clearly suggest accumulation without medical context,False
accuse,0.4943,"rape,murder,killing,crime",3,sensitive,"Serious crimes one is accused of, but sensitive content",False
ache,0.5225,"diarrhea,nausea,vomiting,stomach",3,wrong_sense,Stomach symptoms but most don't typically 'ache',False
acquire,0.5497,"acquisition,transaction,deal,merger",2,too_direct,Business terms including the root word 'acquisition',False
act,0.6548,"legislation,amendment,provision,bill",4,good,Legislative terms that become acts when passed,True
adhere,0.4861,"religion,ideology,doctrine,principle",4,good,Belief systems one adheres to,True
admire,0.5,"courage,bravery,brave,determination",4,good,"Qualities commonly admired, though 'brave' repeats 'bravery'",True
adopt,0.5055,"posture,stance,attitude,approach",5,good,Perfect - all things one adopts in behavior/thinking,True
adore,0.5397,"goddess,divine,god,heaven",4,good,Religious/divine entities that are adored,True
advance,0.5237,"cavalry,infantry,battalion,artillery",4,good,Military units that advance in battle,True
affirm,0.4862,"scripture,divine,salvation,god",3,too_abstract,Religious concepts but connection to affirming is indirect,False
afford,0.464,"buy,rent,pay,purchase",4,good,Financial actions one can/cannot afford,True
alight,0.5451,"blaze,burning,burn,fire",3,wrong_sense,Fire terms but 'alight' as 'catch fire' vs 'land/dismount' is ambiguous,False
alleviate,0.5328,"discomfort,distress,pain,anxiety",5,good,Perfect - all negative states that are alleviated,True
amend,0.5791,"repeal,legislation,bill,provision",4,good,Legislative items that are amended,True
amuse,0.5748,"wit,satire,humor,comedy",4,good,Forms of entertainment that amuse,True
appeal,0.5296,"verdict,judgment,ruling,decision",4,good,Legal decisions that can be appealed,True
appease,0.5584,"goddess,deity,god,emperor",4,good,Powerful entities that are appeased,True
apply,0.4948,"visa,passport,citizenship,permit",5,good,Perfect - all documents/statuses one applies for,True
approve,0.5611,"proposal,amendment,legislation,plan",5,good,Perfect - all items that require approval,True
arouse,0.6701,"hostility,resentment,anger,hatred",4,good,Negative emotions that are aroused,True
arrest,0.5913,"imprisonment,conviction,jail,prison",3,wrong_sense,"These are consequences of arrest, not the arrest itself",False
ask,0.5792,"tell,say,want,know",2,too_broad,Too general - basic communication verbs,False
assert,0.5893,"primacy,dominance,supremacy,superiority",4,good,Forms of authority/power that are asserted,True
attach,0.4669,"brigadier,colonel,intelligence,commander",2,obscure,Military ranks/roles but attachment connection unclear,False
attain,0.4699,"enlightenment,salvation,immortality,happiness",4,good,Lofty goals that are attained,True
attend,0.5405,"school,graduation,college,student",3,too_broad,Education terms but 'student' doesn't fit the pattern,False
avenge,0.5727,"murder,killing,death,murderer",3,sensitive,"Violence-related terms that could be avenged, but sensitive",False
awaken,0.4877,"demon,creature,evil,monster",3,too_abstract,Supernatural entities but awakening connection is metaphorical,False
bail,0.538,"jail,probation,conviction,sentence",3,wrong_sense,Legal consequences but bail is specific to pre-trial release,False
bake,0.5519,"bread,loaf,dough,flour",5,good,Perfect - baking ingredients and products,True
bandage,0.5449,"forehead,jaw,nose,ear",4,good,Body parts that can be bandaged,True
barge,0.6027,"dock,wharf,pier,boat",2,wrong_sense,Water/dock terms but 'barge' as verb (intrude) vs noun (boat) unclear,False
bark,0.4922,"foliage,tree,elm,beech",2,wrong_sense,Tree terms but bark as verb (dog sound) vs noun (tree covering) unclear,False
batter,0.6921,"fielder,pitcher,catcher,shortstop",2,wrong_sense,Baseball positions but batter as verb (hit) vs noun (player) unclear,False
beg,0.4809,"ruler,sultan,throne,emperor",1,wrong_sense,"These are royal/authority figures, not related to begging",False
beggar,0.5956,"prostitute,woman,boy,girl",0,invalid,"Beggar is a noun, not a verb",False
behold,0.4837,"thou,god,heaven,lord",2,obscure,"Archaic biblical language, too specialized",False
beset,0.5305,"strife,unrest,turmoil,controversy",4,good,Clear connection - these troubles can beset someone,True
bid,0.5124,"reelection,incumbent,nomination,candidate",4,good,Political context where one bids for office,True
bind,0.7186,"peptide,protein,molecule,enzyme",4,good,Scientific context - molecules bind together,True
blast,0.51,"explosion,grenade,bomb,bombing",5,good,Perfect connection - all create blasts,True
blunt,0.5569,"teeth,jaw,tooth,skull",3,too_broad,Teeth can be blunt but connection is weak,False
boil,0.5567,"broth,stew,cabbage,soup",5,good,Excellent - all foods that are boiled,True
bolster,0.5549,"offense,defensive,offensive,defense",4,good,Sports/military context - can bolster these strategies,True
bore,0.5537,"rpm,torque,cylinder,horsepower",3,too_abstract,Engine terms but bore connection is technical,False
borrow,0.5043,"lending,debt,loan,credit",5,good,Perfect financial context for borrowing,True
bother,0.6038,"tell,think,want,know",2,wrong_sense,"These are mental actions, not things that bother",False
breakfast,0.683,"lunch,dinner,meal,supper",0,not_action,"Breakfast is typically a noun, not a verb",False
breed,0.6059,"sheep,cattle,goat,pig",5,good,Perfect - all livestock that are bred,True
brew,0.5748,"beer,drink,liquor,alcohol",4,good,Clear connection - alcoholic beverages are brewed,True
broadcast,0.4836,"channel,cable,programming,television",4,good,Media context - all related to broadcasting,True
brood,0.4875,"cowbird,parasite,nest,larva",3,too_abstract,Biological context but connection unclear,False
bruise,0.7571,"thigh,knee,elbow,ankle",5,good,Perfect - all body parts that can bruise,True
bury,0.5494,"burial,funeral,tomb,cemetery",4,good,Clear death/burial context,True
bust,0.6185,"sculptor,statue,sculpture,monument",3,wrong_sense,Art context but bust as verb doesn't fit well,False
