category,mechanism,word1,word2,word3,word4,answer,llm_label,llm_score,llm_reason
purple,compound_suffix,hatch,park,run,water,way,keep,4,"Forms natural compounds: hatchway, parkway, runway, waterway. All are recognizable terms."
purple,compound_prefix,borne,mail,plane,port,air,keep,5,"Excellent compound prefix group: airborne, airmail, airplane, airport. All very common words."
purple,compound_prefix,bone,drop,log,yard,back,keep,4,"Good compounds: backbone, backdrop, backlog, backyard. All natural and recognizable."
purple,verb_noun_association,eel,salmon,fish,shrimp,smelt,reject,2,"While 'smelt' can be a verb meaning to melt metal, it's not strongly suggested by these seafood nouns. 'Cook' or 'catch' would be more natural."
purple,compound_prefix,burn,light,rise,set,sun,keep,5,"Perfect compound prefix: sunburn, sunlight, sunrise, sunset. All very common words."
purple,anagram,alter,artel,later,ratel,anagram,keep,3,Valid anagrams but 'artel' and 'ratel' are quite obscure. 'Alter' and 'later' are common though.
purple,compound_prefix,line,port,strip,way,air,keep,4,"Good compounds: airline, airport, airstrip, airway. All natural terms."
purple,compound_suffix,along,broad,country,sea,side,keep,4,"Natural compounds: alongside, broadside, countryside, seaside. All recognizable words."
purple,compound_prefix,land,made,owner,sick,home,keep,4,"Good compounds: homeland, homemade, homeowner, homesick. All common terms."
purple,anagram,caret,cater,crate,react,anagram,keep,4,"Clean anagram set with common words: caret, cater, crate, react. All recognizable."
purple,anagram,salve,selva,slave,valse,anagram,reject,2,"While valid anagrams, 'selva' and 'valse' are quite obscure. Most players wouldn't recognize these."
purple,compound_prefix,cast,hill,stream,wind,down,keep,4,"Good compounds: downcast, downhill, downstream, downwind. All natural terms."
purple,anagram,canter,nectar,recant,trance,anagram,keep,4,"Valid anagrams with reasonably common words: canter, nectar, recant, trance."
purple,compound_prefix,burn,down,rise,set,sun,keep,4,"Good compounds: sunburn, sundown, sunrise, sunset. All very common words."
purple,compound_prefix,club,fall,mare,time,night,keep,4,"Natural compounds: nightclub, nightfall, nightmare, nighttime. All recognizable."
purple,compound_prefix,arm,finger,runner,sight,fore,keep,4,"Good compounds: forearm, forefinger, forerunner, foresight. All common terms."
purple,compound_suffix,flash,high,search,sun,light,keep,4,"Natural compounds: flashlight, highlight, searchlight, sunlight. All recognizable."
purple,compound_prefix,arm,cast,head,sight,fore,keep,4,"Good compounds: forearm, forecast, forehead, foresight. All common words."
purple,compound_prefix,arm,finger,ground,sight,fore,keep,4,"Natural compounds: forearm, forefinger, foreground, foresight. All recognizable."
purple,compound_prefix,bow,coat,fall,storm,rain,keep,5,"Classic example: rainbow, raincoat, rainfall, rainstorm. Perfect compound prefix group."
purple,compound_suffix,draw,horse,paper,set,back,keep,4,"Good compounds: drawback, horseback, paperback, setback. All natural terms."
purple,anagram,cater,crate,react,recta,anagram,reject,2,'Recta' is too obscure/technical. Most players wouldn't recognize it as a valid word.
purple,verb_noun_association,script,poem,poetry,book,read,keep,4,All nouns strongly suggest 'read' as the associated verb. Natural connection.
purple,verb_noun_association,religion,ideology,doctrine,principle,adhere,reject,2,'Adhere' is not the most natural verb for these abstract nouns. 'Follow' or 'believe' would be more intuitive.
purple,compound_suffix,half,path,rail,run,way,keep,4,"Natural compounds: halfway, pathway, railway, runway. All common terms."
purple,verb_noun_association,tumor,kidney,infection,disease,recur,reject,2,Medical conditions don't strongly suggest 'recur' as the primary verb - 'treat' or 'diagnose' would be more natural.
purple,compound_prefix,cast,hill,pour,right,down,keep,4,"Forms natural compounds: downcast, downhill, downpour, downright."
purple,compound_suffix,base,eye,high,snow,ball,keep,5,"Excellent compounds: baseball, eyeball, highball, snowball."
purple,compound_suffix,field,fire,net,patch,work,keep,4,"Good compounds: fieldwork, firework, network, patchwork."
purple,verb_noun_association,creativity,innovation,excellence,passion,nurture,reject,2,"Abstract concepts don't strongly suggest 'nurture' - could be 'foster', 'develop', or 'cultivate'."
purple,compound_prefix,cast,ground,runner,see,fore,keep,4,"Forms natural compounds: forecast, foreground, forerunner, foresee."
