category,mechanism,word1,word2,word3,word4,answer,llm_label,llm_score,llm_reason
purple,compound_suffix,hatch,park,run,water,way,,,
purple,compound_prefix,borne,mail,plane,port,air,,,
purple,compound_prefix,bone,drop,log,yard,back,,,
purple,verb_noun_association,eel,salmon,fish,shrimp,smelt,,,
purple,compound_prefix,burn,light,rise,set,sun,,,
purple,anagram,alter,artel,later,ratel,anagram,,,
purple,compound_prefix,line,port,strip,way,air,,,
purple,compound_suffix,along,broad,country,sea,side,,,
purple,compound_prefix,land,made,owner,sick,home,,,
purple,anagram,caret,cater,crate,react,anagram,,,
purple,anagram,salve,selva,slave,valse,anagram,,,
purple,compound_prefix,cast,hill,stream,wind,down,,,
purple,anagram,canter,nectar,recant,trance,anagram,,,
purple,compound_prefix,burn,down,rise,set,sun,,,
purple,compound_prefix,club,fall,mare,time,night,,,
purple,compound_prefix,arm,finger,runner,sight,fore,,,
purple,compound_suffix,flash,high,search,sun,light,,,
purple,compound_prefix,arm,cast,head,sight,fore,,,
purple,compound_prefix,arm,finger,ground,sight,fore,,,
purple,compound_prefix,bow,coat,fall,storm,rain,,,
purple,compound_suffix,draw,horse,paper,set,back,,,
purple,anagram,cater,crate,react,recta,anagram,,,
purple,verb_noun_association,script,poem,poetry,book,read,,,
purple,verb_noun_association,religion,ideology,doctrine,principle,adhere,,,
purple,compound_suffix,half,path,rail,run,way,,,
purple,verb_noun_association,tumor,kidney,infection,disease,recur,,,
purple,compound_prefix,cast,hill,pour,right,down,,,
purple,compound_suffix,base,eye,high,snow,ball,,,
purple,compound_suffix,field,fire,net,patch,work,,,
purple,verb_noun_association,creativity,innovation,excellence,passion,nurture,,,
purple,compound_prefix,cast,ground,runner,see,fore,,,
purple,anagram,aril,lair,lari,rail,anagram,,,
purple,anagram,aril,lari,rail,rial,anagram,,,
purple,compound_suffix,air,high,run,water,way,,,
purple,verb_noun_association,parade,tribute,celebration,ceremony,salute,,,
purple,compound_prefix,cast,pour,right,stream,down,,,
purple,compound_suffix,dinner,lunch,spring,war,time,,,
purple,anagram,astir,sitar,stria,tarsi,anagram,,,
purple,verb_noun_association,meal,dish,kitchen,dinner,cook,,,
purple,verb_noun_association,bullet,pistol,gun,rifle,shoot,,,
purple,verb_noun_association,crop,wheat,harvest,grain,yield,,,
purple,compound_suffix,fair,half,mid,path,way,,,
purple,verb_noun_association,channel,cable,programming,television,broadcast,,,
purple,compound_suffix,fair,hall,road,run,way,,,
purple,anagram,aril,lair,lira,rail,anagram,,,
purple,verb_noun_association,nozzle,valve,piston,cylinder,exhaust,,,
purple,compound_prefix,cast,runner,see,sight,fore,,,
purple,compound_suffix,free,half,park,run,way,,,
purple,anagram,luster,result,sutler,ulster,anagram,,,
purple,anagram,lair,lari,rail,rial,anagram,,,
purple,anagram,armed,derma,dream,ramed,anagram,,,
purple,verb_noun_association,probation,sentence,parole,jail,plead,,,
purple,compound_suffix,bed,peace,spring,war,time,,,
purple,verb_noun_association,lineage,ancestry,descent,origin,trace,,,
purple,compound_prefix,ball,point,road,way,high,,,
purple,compound_suffix,bed,life,night,summer,time,,,
purple,anagram,east,sate,seat,seta,anagram,,,
purple,compound_prefix,hill,pour,right,stream,down,,,
purple,verb_noun_association,drink,bottle,wine,glass,pour,,,
purple,compound_prefix,craft,mail,strip,way,air,,,
purple,verb_noun_association,god,salvation,divine,heaven,pray,,,
purple,anagram,aper,pear,rape,reap,anagram,,,
purple,verb_noun_association,size,length,width,diameter,vary,,,
purple,anagram,ates,eats,sate,seat,anagram,,,
purple,compound_prefix,cracker,light,place,work,fire,,,
purple,compound_suffix,court,round,store,tea,house,,,
purple,compound_prefix,fall,pour,right,town,down,,,
purple,anagram,merit,miter,mitre,remit,anagram,,,
purple,compound_suffix,air,road,run,water,way,,,
purple,anagram,leapt,petal,plate,tepal,anagram,,,
purple,verb_noun_association,bakery,cafe,store,restaurant,shop,,,
purple,compound_prefix,borne,craft,plane,port,air,,,
purple,verb_noun_association,grocery,supermarket,store,pharmacy,retail,,,
purple,compound_prefix,borne,craft,field,strip,air,,,
purple,compound_prefix,arm,cast,head,runner,fore,,,
purple,compound_suffix,hatch,park,rail,sub,way,,,
purple,compound_prefix,arm,cast,finger,runner,fore,,,
purple,compound_suffix,buck,cup,score,spring,board,,,
purple,compound_prefix,fall,pour,stream,turn,down,,,
purple,anagram,lari,liar,rail,rial,anagram,,,
purple,verb_noun_association,tendon,knee,shoulder,surgery,tear,,,
purple,compound_suffix,free,hall,hatch,high,way,,,
purple,anagram,aper,pare,pear,rape,anagram,,,
purple,compound_suffix,half,mid,park,sub,way,,,
purple,verb_noun_association,platoon,battalion,sergeant,regiment,recruit,,,
purple,compound_prefix,finger,head,runner,see,fore,,,
purple,verb_noun_association,lending,debt,loan,credit,borrow,,,
purple,verb_noun_association,curriculum,classroom,academic,learning,enrich,,,
purple,verb_noun_association,accomplishment,victory,triumph,achievement,congratulate,,,
purple,verb_noun_association,axle,brake,tire,wheel,steer,,,
purple,verb_noun_association,likelihood,risk,danger,threat,lessen,,,
purple,verb_noun_association,pilgrimage,journey,voyage,expedition,undertake,,,
purple,anagram,reins,resin,serin,siren,anagram,,,
purple,anagram,resin,rinse,risen,siren,anagram,,,
purple,compound_suffix,fair,gate,high,run,way,,,
purple,verb_noun_association,lending,mortgage,debt,loan,underwrite,,,
purple,compound_suffix,air,hatch,high,sub,way,,,
purple,anagram,lave,vale,veal,vela,anagram,,,
purple,verb_noun_association,tumor,tissue,bone,skin,remove,,,
purple,anagram,abet,bate,beat,beta,anagram,,,
purple,anagram,rate,tare,tear,tera,anagram,,,
purple,compound_suffix,air,gate,half,hatch,way,,,
purple,compound_prefix,borne,craft,mail,port,air,,,
purple,compound_prefix,cast,fall,pour,turn,down,,,
purple,compound_prefix,right,stream,turn,wind,down,,,
purple,compound_prefix,fall,right,turn,wind,down,,,
purple,compound_prefix,field,mail,strip,way,air,,,
purple,verb_noun_association,ranch,herd,cattle,livestock,corral,,,
purple,verb_noun_association,plaque,monument,statue,memorial,commemorate,,,
purple,compound_prefix,craft,field,port,way,air,,,
purple,compound_prefix,field,port,strip,way,air,,,
purple,compound_prefix,cast,hill,right,town,down,,,
purple,anagram,caret,cater,crate,trace,anagram,,,
purple,verb_noun_association,drummer,vocalist,guitarist,band,jam,,,
purple,anagram,stale,steal,stela,tales,anagram,,,
purple,compound_prefix,borne,field,line,port,air,,,
purple,verb_noun_association,prosecution,jury,trial,defendant,testify,,,
purple,compound_suffix,mid,path,stair,water,way,,,
purple,compound_prefix,air,day,night,week,mid,,,
purple,compound_prefix,burn,down,light,shade,sun,,,
purple,verb_noun_association,roadway,freeway,highway,expressway,stretch,,,
purple,compound_prefix,ache,light,line,water,head,,,
purple,compound_suffix,air,border,crystal,shore,line,,,
purple,anagram,piles,plies,spiel,spile,anagram,,,
purple,verb_noun_association,tournament,round,playoff,championship,qualify,,,
purple,verb_noun_association,waste,garbage,trash,sewage,dispose,,,
purple,anagram,mate,meat,tame,team,anagram,,,
purple,compound_prefix,arm,ground,runner,see,fore,,,
purple,verb_noun_association,discomfort,pain,stress,anxiety,relieve,,,
purple,compound_suffix,door,hatch,rail,run,way,,,
purple,verb_noun_association,diligence,courage,dedication,commitment,commend,,,
purple,compound_suffix,check,guide,note,sketch,book,,,
purple,compound_prefix,cast,finger,ground,runner,fore,,,
purple,compound_prefix,arm,finger,ground,runner,fore,,,
purple,compound_suffix,drive,half,path,rail,way,,,
purple,verb_noun_association,god,heaven,divine,holy,glorify,,,
purple,anagram,reins,rinse,serin,siren,anagram,,,
purple,verb_noun_association,legislation,amendment,bill,proposal,oppose,,,
purple,anagram,derange,enraged,grandee,grenade,anagram,,,
purple,anagram,cater,crate,recta,trace,anagram,,,
purple,verb_noun_association,oppression,injustice,slavery,discrimination,perpetuate,,,
purple,verb_noun_association,strife,unrest,turmoil,controversy,beset,,,
purple,compound_prefix,borne,craft,line,mail,air,,,
purple,compound_prefix,boy,house,master,room,school,,,
purple,anagram,ester,reset,steer,terse,anagram,,,
purple,compound_suffix,fair,hatch,mid,water,way,,,
purple,verb_noun_association,impasse,dispute,conflict,crisis,resolve,,,
purple,verb_noun_association,assent,consent,approval,permission,withhold,,,
purple,compound_suffix,dinner,life,night,peace,time,,,
purple,compound_suffix,day,life,meal,night,time,,,
purple,anagram,slate,steal,stela,tales,anagram,,,
purple,compound_prefix,craft,port,strip,way,air,,,
purple,anagram,dinar,drain,nadir,ranid,anagram,,,
purple,compound_prefix,color,fall,proof,way,water,,,
purple,verb_noun_association,pastor,congregation,clergy,church,preach,,,
purple,compound_suffix,bed,mean,night,spring,time,,,
purple,compound_prefix,field,line,mail,strip,air,,,
purple,compound_suffix,dinner,life,spring,war,time,,,
purple,compound_suffix,bill,cup,peg,score,board,,,
purple,compound_prefix,burn,down,light,rise,sun,,,
purple,compound_suffix,court,green,smoke,tea,house,,,
purple,verb_noun_association,cargo,shipment,container,freight,unload,,,
purple,compound_prefix,craft,field,mail,way,air,,,
purple,compound_prefix,field,mail,port,way,air,,,
purple,compound_prefix,fall,right,stream,wind,down,,,
purple,compound_prefix,cast,finger,head,see,fore,,,
purple,anagram,reins,rinse,risen,serin,anagram,,,
purple,compound_suffix,fire,frame,patch,wood,work,,,
purple,anagram,reales,resale,reseal,sealer,anagram,,,
purple,compound_prefix,cast,pour,turn,wind,down,,,
purple,anagram,lair,lari,liar,lira,anagram,,,
purple,compound_suffix,birth,common,fire,market,place,,,
purple,anagram,aril,lair,liar,lira,anagram,,,
purple,compound_suffix,bed,lunch,spring,war,time,,,
purple,verb_noun_association,bacteria,organism,protein,tissue,isolate,,,
purple,compound_prefix,field,mail,port,strip,air,,,
purple,anagram,alert,alter,later,ratel,anagram,,,
purple,compound_suffix,door,high,path,stair,way,,,
purple,anagram,lasting,salting,slating,staling,anagram,,,
purple,compound_prefix,hill,right,town,wind,down,,,
purple,verb_noun_association,touchdown,receiver,quarterback,offense,pass,,,
purple,anagram,resin,rinse,serin,siren,anagram,,,
purple,verb_noun_association,guitar,violin,saxophone,piano,fiddle,,,
purple,anagram,ates,east,eats,sate,anagram,,,
purple,anagram,luster,rustle,sutler,ulster,anagram,,,
purple,compound_suffix,air,drive,hall,run,way,,,
purple,compound_suffix,case,field,fire,grill,work,,,
purple,compound_prefix,burn,down,light,set,sun,,,
purple,anagram,leapt,petal,pleat,tepal,anagram,,,
purple,compound_prefix,cast,fall,stream,turn,down,,,
purple,anagram,least,slate,steal,stela,anagram,,,
purple,compound_prefix,down,light,set,shine,sun,,,
purple,compound_prefix,pour,right,stream,turn,down,,,
purple,anagram,ruse,suer,sure,user,anagram,,,
purple,anagram,caret,carte,cater,crate,anagram,,,
purple,compound_prefix,arm,cast,finger,head,fore,,,
purple,anagram,cater,react,recta,trace,anagram,,,
purple,compound_suffix,black,dash,floor,key,board,,,
purple,compound_suffix,free,hatch,run,stair,way,,,
purple,anagram,reins,rinse,risen,siren,anagram,,,
purple,verb_noun_association,borrower,mortgage,loan,lending,repay,,,
purple,compound_prefix,arm,cast,finger,ground,fore,,,
purple,compound_suffix,fair,hall,hatch,high,way,,,
purple,anagram,prat,rapt,tarp,trap,anagram,,,
purple,compound_suffix,hatch,road,run,water,way,,,
purple,anagram,lascar,rascal,sacral,scalar,anagram,,,
purple,compound_suffix,free,hatch,mid,sub,way,,,
purple,compound_suffix,along,curb,dock,mountain,side,,,
purple,compound_prefix,field,line,port,way,air,,,
purple,anagram,acinar,arnica,carina,crania,anagram,,,
purple,verb_noun_association,injustice,oppression,slavery,persecution,denounce,,,
purple,compound_suffix,bed,life,peace,summer,time,,,
purple,anagram,late,tael,tale,teal,anagram,,,
purple,compound_prefix,craft,field,mail,port,air,,,
purple,compound_suffix,fair,hall,high,park,way,,,
purple,anagram,least,slate,steal,tales,anagram,,,
purple,anagram,luster,result,rustle,ulster,anagram,,,
purple,verb_noun_association,herd,livestock,sheep,cattle,roam,,,
purple,compound_prefix,borne,craft,mail,strip,air,,,
purple,compound_suffix,lunch,meal,peace,summer,time,,,
purple,verb_noun_association,humidity,moisture,dry,wet,tolerate,,,
purple,verb_noun_association,verdict,judgment,ruling,decision,appeal,,,
purple,compound_suffix,door,hatch,park,road,way,,,
purple,anagram,reins,resin,rinse,risen,anagram,,,
