category,mechanism,word1,word2,word3,word4,answer,coherence_score,hypernym_depth,bucket_size
green,wordnet_common_hypernym,lecturer,professor,reader,schoolmaster,educator,0.3129,6,19
green,wordnet_common_hypernym,pathologist,psychiatrist,surgeon,veterinarian,doctor,0.4347,8,16
green,wordnet_common_hypernym,baritone,horn,recorder,trumpet,wind instrument,0.3114,8,13
green,wordnet_common_hypernym,arm,claw,forefinger,thigh,extremity,0.2705,6,17
green,wordnet_common_hypernym,digger,fireman,groom,laborer,workman,0.2700,6,26
green,wordnet_common_hypernym,cowboy,gypsy,peasant,wrangler,workman,0.3039,6,26
green,wordnet_common_hypernym,infantryman,rebel,redcoat,rifleman,enlisted person,0.3299,7,14
green,wordnet_common_hypernym,intern,pathologist,veterinarian,veterinary,doctor,0.3163,8,16
green,wordnet_common_hypernym,filly,lamb,pup,puppy,young mammal,0.3933,8,12
green,wordnet_common_hypernym,grain,kernel,oilseed,walnut,seed,0.3159,9,18
green,wordnet_common_hypernym,couch,davenport,divan,workbench,furniture,0.4118,7,49
green,wordnet_common_hypernym,drone,saxophone,whistle,woodwind,wind instrument,0.2764,8,13
green,wordnet_common_hypernym,cab,car,convertible,jeep,motor vehicle,0.3850,9,26
green,wordnet_common_hypernym,cannon,gun,hatchet,sword,weapon,0.3314,8,40
green,wordnet_common_hypernym,armchair,chest,crib,dresser,furniture,0.2722,7,49
green,wordnet_common_hypernym,gut,heart,lung,stomach,internal organ,0.3858,6,11
green,wordnet_common_hypernym,castle,horse,king,knight,game equipment,0.3270,7,30
green,wordnet_common_hypernym,pathologist,physician,psychiatrist,quack,medical practitioner,0.3500,7,20
green,wordnet_common_hypernym,cortex,mucosa,pathway,tooth,animal tissue,0.2924,6,59
green,wordnet_common_hypernym,church,dormitory,monastery,shrine,building,0.3686,6,69
green,wordnet_common_hypernym,caliper,manometer,sonar,thermocouple,measuring instrument,0.3584,8,31
green,wordnet_common_hypernym,handgun,musket,rifle,shotgun,gun,0.5690,9,16
green,wordnet_common_hypernym,bite,dinner,feast,luncheon,meal,0.3624,6,16
green,wordnet_common_hypernym,sax,saxophone,serpent,wood,wind instrument,0.2791,8,13
green,wordnet_common_hypernym,calf,colt,hog,puppy,young,0.2734,7,16
green,wordnet_common_hypernym,deck,dock,rostrum,scaffold,platform,0.2886,7,22
green,wordnet_common_hypernym,fairway,green,rough,tee,site,0.3895,7,16
green,wordnet_common_hypernym,gut,jejunum,pump,rumen,internal organ,0.2822,6,11
green,wordnet_common_hypernym,crossing,crossroad,interchange,roundabout,junction,0.3411,6,8
green,wordnet_common_hypernym,corkscrew,gutter,shovel,spade,hand tool,0.2755,8,21
green,wordnet_common_hypernym,diamond,necklace,pin,ring,jewelry,0.3109,7,17
green,wordnet_common_hypernym,industrialist,king,owner,proprietor,businessman,0.2980,6,19
green,wordnet_common_hypernym,hovel,pavilion,shanty,tent,shelter,0.3351,6,14
green,wordnet_common_hypernym,auto,car,pickup,sedan,motor vehicle,0.4386,9,26
green,wordnet_common_hypernym,chamber,fireplace,hearth,mausoleum,enclosure,0.2741,7,32
green,wordnet_common_hypernym,baker,draper,grocer,huckster,merchant,0.2929,6,15
green,wordnet_common_hypernym,dean,minister,rector,shepherd,clergyman,0.3070,6,26
green,wordnet_common_hypernym,collar,diamond,earring,necklace,jewelry,0.3771,7,17
green,wordnet_common_hypernym,burglar,fugitive,henchman,racketeer,criminal,0.3088,7,37
green,wordnet_common_hypernym,analyst,physician,specialist,surgeon,medical practitioner,0.3081,7,20
green,wordnet_common_hypernym,chili,chilly,onion,pea,vegetable,0.2762,6,26
green,wordnet_common_hypernym,beaver,bouffant,mane,skin,body covering,0.2909,6,40
green,wordnet_common_hypernym,deltoid,gastrocnemius,lat,pectoralis,skeletal muscle,0.4278,8,9
green,wordnet_common_hypernym,abstraction,cityscape,engraving,fresco,graphic art,0.2764,7,15
green,wordnet_common_hypernym,beard,curl,scalp,skin,body covering,0.3049,6,40
green,wordnet_common_hypernym,marrow,skin,submucosa,tusk,connective tissue,0.2854,7,32
green,wordnet_common_hypernym,pipe,sax,saxophone,whistle,wind instrument,0.3195,8,13
green,wordnet_common_hypernym,ballroom,courtroom,divan,lounge,room,0.3099,7,69
green,wordnet_common_hypernym,peddler,pusher,seller,trader,merchant,0.3184,6,15
