category,mechanism,word1,word2,word3,word4,answer
blue,wordnet_direct_hypernym,rib,skull,teeth,tooth,bone
blue,wordnet_direct_hypernym,biceps,deltoid,pectoralis,serratus,skeletal muscle
blue,wordnet_direct_hypernym,blueprint,closeup,scene,shot,photograph
blue,wordnet_direct_hypernym,beaver,cannon,helmet,palette,armor plate
blue,wordnet_direct_hypernym,atmosphere,sunshine,thaw,warming,weather
blue,wordnet_direct_hypernym,envelope,poke,pouch,saddlebag,bag
blue,wordnet_direct_hypernym,kit,outfit,rigging,tack,gear
blue,wordnet_direct_hypernym,ferry,junk,lighter,tender,boat
blue,wordnet_direct_hypernym,barricade,grate,rail,roadblock,barrier
blue,wordnet_direct_hypernym,charcoal,plan,sketch,tracing,drawing
blue,wordnet_direct_hypernym,column,pillar,post,stud,upright
blue,wordnet_direct_hypernym,bay,box,cab,cabinet,compartment
blue,wordnet_direct_hypernym,likeness,panorama,reflection,scan,picture
blue,wordnet_direct_hypernym,charcoal,diagram,rendering,trace,drawing
blue,wordnet_direct_hypernym,diagram,plan,rendering,tracing,drawing
blue,wordnet_direct_hypernym,catheter,coil,stem,straw,tube
blue,wordnet_direct_hypernym,magnification,mosaic,print,still,photograph
blue,wordnet_direct_hypernym,catheter,drain,pipe,straw,tube
blue,wordnet_direct_hypernym,discus,hammer,saucer,stick,sports equipment
blue,wordnet_direct_hypernym,coil,hose,piping,straw,tube
blue,wordnet_direct_hypernym,alto,baritone,bass,minstrel,singer
blue,wordnet_direct_hypernym,downfall,sunshine,thaw,wind,weather
blue,wordnet_direct_hypernym,casting,modification,print,toy,copy
blue,wordnet_direct_hypernym,cinch,harness,housing,trapping,stable gear
blue,wordnet_direct_hypernym,aisle,arcade,corridor,gate,passageway
blue,wordnet_direct_hypernym,frame,print,stereo,still,photograph
blue,wordnet_direct_hypernym,grinder,gyro,hamburger,wrap,sandwich
blue,wordnet_direct_hypernym,air,calm,gale,gust,wind
blue,wordnet_direct_hypernym,compact,convertible,hack,saloon,car
blue,wordnet_direct_hypernym,foil,graphic,panorama,reflection,picture
blue,wordnet_direct_hypernym,eagle,hawk,owl,vulture,bird of prey
blue,wordnet_direct_hypernym,derrick,horse,lattice,pilot,framework
blue,wordnet_direct_hypernym,granary,magazine,railhead,warehouse,storehouse
blue,wordnet_direct_hypernym,nasal,phalanx,rib,skullcap,bone
blue,wordnet_direct_hypernym,calm,draft,gale,squall,wind
blue,wordnet_direct_hypernym,automobile,car,machine,truck,motor vehicle
blue,wordnet_direct_hypernym,coil,mouthpiece,pipe,straw,tube
blue,wordnet_direct_hypernym,court,inn,lodge,resort,hotel
blue,wordnet_direct_hypernym,knife,pick,razor,shear,edge tool
blue,wordnet_direct_hypernym,hammer,mat,mouthpiece,stick,sports equipment
blue,wordnet_direct_hypernym,charcoal,silhouette,study,trace,drawing
blue,wordnet_direct_hypernym,chalk,charcoal,marker,pencil,writing implement
blue,wordnet_direct_hypernym,balustrade,bulwark,fender,roadblock,barrier
blue,wordnet_direct_hypernym,buckboard,cab,chariot,coach,carriage
blue,wordnet_direct_hypernym,discus,spike,stick,weight,sports equipment
blue,wordnet_direct_hypernym,low,park,reverse,third,gear
blue,wordnet_direct_hypernym,ambulance,cab,electric,saloon,car
blue,wordnet_direct_hypernym,interne,quack,veterinarian,veterinary,doctor
blue,wordnet_direct_hypernym,shimmy,teddy,underwear,vest,undergarment
blue,wordnet_direct_hypernym,centrifuge,lighting,pendulum,reactor,apparatus
blue,wordnet_direct_hypernym,infantryman,redcoat,tanker,territorial,soldier
blue,wordnet_direct_hypernym,bracing,sill,tread,upright,structural member
blue,wordnet_direct_hypernym,aerator,lighting,still,telegraph,apparatus
blue,wordnet_direct_hypernym,radio,reception,television,video,broadcasting
blue,wordnet_direct_hypernym,pry,stick,tappet,trigger,lever
blue,wordnet_direct_hypernym,corn,oat,rice,rye,cereal
blue,wordnet_direct_hypernym,chicken,dove,duck,turkey,poultry
blue,wordnet_direct_hypernym,specialist,surgeon,veterinarian,veterinary,doctor
blue,wordnet_direct_hypernym,recording,register,store,tape,memory device
blue,wordnet_direct_hypernym,bulwark,fence,groin,roadblock,barrier
blue,wordnet_direct_hypernym,lens,monitor,scope,telephone,electronic equipment
blue,wordnet_direct_hypernym,discus,hammer,spike,target,sports equipment
blue,wordnet_direct_hypernym,cab,car,locker,trunk,compartment
blue,wordnet_direct_hypernym,butt,saucer,stick,target,sports equipment
blue,wordnet_direct_hypernym,diagnostician,pathologist,psychiatrist,shrink,specialist
blue,wordnet_direct_hypernym,barley,rice,rye,wheat,cereal
blue,wordnet_direct_hypernym,captain,copper,detective,inspector,policeman
blue,wordnet_direct_hypernym,caraway,fennel,rue,tea,herb
blue,wordnet_direct_hypernym,infantryman,orderly,tanker,trooper,soldier
blue,wordnet_direct_hypernym,monitor,phone,scope,terminal,electronic equipment
blue,wordnet_direct_hypernym,atmosphere,sunshine,thawing,wind,weather
blue,wordnet_direct_hypernym,meteor,radiance,ray,sunshine,light
blue,wordnet_direct_hypernym,burner,centrifuge,pendulum,reformer,apparatus
blue,wordnet_direct_hypernym,catheter,coil,drain,piping,tube
blue,wordnet_direct_hypernym,breakwater,dam,fencing,groin,barrier
blue,wordnet_direct_hypernym,bag,cage,hill,lumber,baseball equipment
blue,wordnet_direct_hypernym,grinder,gyro,hero,wedge,sandwich
blue,wordnet_direct_hypernym,burner,lighting,reformer,telegraph,apparatus
blue,wordnet_direct_hypernym,beard,bush,down,eyebrow,hair
blue,wordnet_direct_hypernym,bow,club,spindle,staff,stick
blue,wordnet_direct_hypernym,cutter,ferry,tower,tug,boat
blue,wordnet_direct_hypernym,infantryman,orderly,regular,territorial,soldier
blue,wordnet_direct_hypernym,jaw,phalanx,rib,teeth,bone
blue,wordnet_direct_hypernym,bat,baton,bludgeon,cudgel,club
blue,wordnet_direct_hypernym,cityscape,illumination,miniature,watercolor,painting
blue,wordnet_direct_hypernym,burglar,dip,pirate,robber,thief
blue,wordnet_direct_hypernym,bay,mare,pacer,poster,horse
blue,wordnet_direct_hypernym,bobby,cop,detective,trooper,policeman
blue,wordnet_direct_hypernym,bag,base,hill,mound,baseball equipment
blue,wordnet_direct_hypernym,arcade,drift,gate,tunnel,passageway
blue,wordnet_direct_hypernym,bus,compact,limousine,sedan,car
blue,wordnet_direct_hypernym,brassiere,teddy,undershirt,underwear,undergarment
blue,wordnet_direct_hypernym,mixer,processor,telephone,terminal,electronic equipment
blue,wordnet_direct_hypernym,abdominal,pecs,pectoralis,serratus,skeletal muscle
blue,wordnet_direct_hypernym,jaw,nasal,teeth,tooth,bone
blue,wordnet_direct_hypernym,branch,bulb,cane,trunk,stalk
blue,wordnet_direct_hypernym,carbon,cast,duplication,toy,copy
blue,wordnet_direct_hypernym,bumper,pony,schooner,tumbler,glass
blue,wordnet_direct_hypernym,air,blow,draft,thermal,wind
blue,wordnet_direct_hypernym,banister,breakwater,fencing,railing,barrier
blue,wordnet_direct_hypernym,hammer,planer,saw,smoother,power tool
blue,wordnet_direct_hypernym,binding,darn,gathering,mend,sewing
blue,wordnet_direct_hypernym,barge,ferry,lighter,tower,boat
blue,wordnet_direct_hypernym,baggage,kit,pocketbook,wallet,case
blue,wordnet_direct_hypernym,accelerator,clutch,gun,throttle,pedal
blue,wordnet_direct_hypernym,conspirator,punk,runner,traitor,criminal
blue,wordnet_direct_hypernym,air,gale,monsoon,thermal,wind
blue,wordnet_direct_hypernym,buckboard,buggy,cab,trap,carriage
blue,wordnet_direct_hypernym,cleaner,digger,gypsy,miner,laborer
blue,wordnet_direct_hypernym,barrel,capillary,drain,mouthpiece,tube
blue,wordnet_direct_hypernym,runway,scaffold,stage,top,platform
blue,wordnet_direct_hypernym,bustle,fender,framing,grille,framework
blue,wordnet_direct_hypernym,base,glove,hill,lumber,baseball equipment
blue,wordnet_direct_hypernym,bolt,lever,rail,runway,bar
blue,wordnet_direct_hypernym,aerator,burner,centrifuge,lighting,apparatus
blue,wordnet_direct_hypernym,cop,inspector,investigator,trooper,policeman
blue,wordnet_direct_hypernym,authority,leaflet,pamphlet,text,book
blue,wordnet_direct_hypernym,compact,luggage,pocketbook,wallet,case
blue,wordnet_direct_hypernym,ambulance,cab,hack,taxi,car
blue,wordnet_direct_hypernym,bobby,cop,copper,pig,policeman
blue,wordnet_direct_hypernym,cross,shading,spot,streak,marking
blue,wordnet_direct_hypernym,diagram,plan,study,trace,drawing
blue,wordnet_direct_hypernym,first,high,low,third,gear
blue,wordnet_direct_hypernym,burner,reactor,reformer,still,apparatus
blue,wordnet_direct_hypernym,catalog,catechism,leaflet,reference,book
blue,wordnet_direct_hypernym,disposal,microwave,oven,stove,kitchen appliance
blue,wordnet_direct_hypernym,barricade,mole,railing,roadblock,barrier
blue,wordnet_direct_hypernym,bomber,hero,submarine,wedge,sandwich
blue,wordnet_direct_hypernym,disk,recording,storage,store,memory device
blue,wordnet_direct_hypernym,binding,darn,gather,stitch,sewing
blue,wordnet_direct_hypernym,baby,foal,kit,kitten,young mammal
blue,wordnet_direct_hypernym,costume,disguise,rig,turnout,attire
blue,wordnet_direct_hypernym,bush,coat,lash,mane,hair
blue,wordnet_direct_hypernym,moccasin,pump,sandal,sneaker,shoe
blue,wordnet_direct_hypernym,mare,plug,pony,poster,horse
blue,wordnet_direct_hypernym,carbon,imitation,modification,toy,copy
blue,wordnet_direct_hypernym,bakery,booth,canteen,drugstore,shop
blue,wordnet_direct_hypernym,carbon,modification,print,reproduction,copy
blue,wordnet_direct_hypernym,colonel,lieutenant,major,marshal,commissioned military officer
blue,wordnet_direct_hypernym,bell,mouthpiece,muffler,siren,acoustic device
blue,wordnet_direct_hypernym,capillary,mouthpiece,pipe,stem,tube
blue,wordnet_direct_hypernym,bus,cable,cord,electrode,conductor
blue,wordnet_direct_hypernym,delineation,plan,silhouette,tracing,drawing
blue,wordnet_direct_hypernym,buck,bustle,grille,wattle,framework
blue,wordnet_direct_hypernym,abdominal,biceps,gastrocnemius,serratus,skeletal muscle
blue,wordnet_direct_hypernym,compound,coop,niche,pen,enclosure
blue,wordnet_direct_hypernym,bobby,bull,captain,investigator,policeman
blue,wordnet_direct_hypernym,bypass,freeway,interstate,pike,highway
blue,wordnet_direct_hypernym,landing,pad,pier,top,platform
blue,wordnet_direct_hypernym,audio,tape,transcription,video,recording
blue,wordnet_direct_hypernym,mare,mount,plug,sorrel,horse
blue,wordnet_direct_hypernym,downpour,drizzle,monsoon,shower,rain
blue,wordnet_direct_hypernym,authority,catalog,pamphlet,reference,book
blue,wordnet_direct_hypernym,blast,breeze,gust,squall,wind
blue,wordnet_direct_hypernym,buffer,disc,register,tape,memory device
blue,wordnet_direct_hypernym,dad,daddy,pas,pop,father
blue,wordnet_direct_hypernym,bomber,gyro,hamburger,western,sandwich
blue,wordnet_direct_hypernym,accessory,punk,pusher,tough,criminal
blue,wordnet_direct_hypernym,baggage,compact,pocketbook,shoe,case
blue,wordnet_direct_hypernym,beard,bush,mane,pile,hair
blue,wordnet_direct_hypernym,cotton,filling,metallic,warp,thread
blue,wordnet_direct_hypernym,derrick,grate,grille,window,framework
blue,wordnet_direct_hypernym,detector,mixer,peripheral,phone,electronic equipment
blue,wordnet_direct_hypernym,bolt,lever,rotor,shackle,bar
blue,wordnet_direct_hypernym,arm,forearm,leg,thigh,limb
blue,wordnet_direct_hypernym,radiance,shaft,sun,sunshine,light
blue,wordnet_direct_hypernym,cast,duplicate,imitation,print,copy
blue,wordnet_direct_hypernym,buffer,burr,hammer,saw,power tool
blue,wordnet_direct_hypernym,irradiation,meteor,radiance,shaft,light
blue,wordnet_direct_hypernym,chamber,coop,pen,pit,enclosure
blue,wordnet_direct_hypernym,blow,monsoon,squall,thermal,wind
blue,wordnet_direct_hypernym,issue,number,serial,series,periodical
blue,wordnet_direct_hypernym,authority,brochure,catalog,text,book
blue,wordnet_direct_hypernym,beard,coat,curl,down,hair
blue,wordnet_direct_hypernym,bishop,castle,horse,knight,chessman
blue,wordnet_direct_hypernym,collage,graphic,panorama,transparency,picture
blue,wordnet_direct_hypernym,clotheshorse,fender,pilot,window,framework
blue,wordnet_direct_hypernym,barge,cutter,lighter,tug,boat
blue,wordnet_direct_hypernym,bastion,bunker,fieldwork,stockade,fortification
blue,wordnet_direct_hypernym,ferry,packet,tender,tug,boat
blue,wordnet_direct_hypernym,infantryman,orderly,redcoat,rifleman,soldier
blue,wordnet_direct_hypernym,barge,cutter,junk,tender,boat
blue,wordnet_direct_hypernym,bootlegger,hijacker,punk,thief,criminal
blue,wordnet_direct_hypernym,blueprint,closeup,magnification,stereo,photograph
blue,wordnet_direct_hypernym,brochure,catechism,reference,text,book
blue,wordnet_direct_hypernym,bomber,sub,wedge,wrap,sandwich
blue,wordnet_direct_hypernym,blueprint,closeup,frame,mosaic,photograph
blue,wordnet_direct_hypernym,aperture,peg,register,thermostat,regulator
blue,wordnet_direct_hypernym,breakwater,bulwark,hurdle,railing,barrier
blue,wordnet_direct_hypernym,ghoul,lifter,robber,rustler,thief
blue,wordnet_direct_hypernym,glow,moon,sun,sunshine,light
blue,wordnet_direct_hypernym,filling,nap,warp,worsted,thread
blue,wordnet_direct_hypernym,mosque,shrine,synagogue,temple,place of worship
blue,wordnet_direct_hypernym,bootlegger,hijacker,racketeer,tough,criminal
blue,wordnet_direct_hypernym,beaver,bonnet,fedora,sailor,hat
blue,wordnet_direct_hypernym,coop,lock,niche,pit,enclosure
blue,wordnet_direct_hypernym,bus,bypass,cable,shunt,conductor
blue,wordnet_direct_hypernym,irradiation,moon,ray,sun,light
blue,wordnet_direct_hypernym,barrel,drain,piping,straw,tube
blue,wordnet_direct_hypernym,cage,dock,lock,niche,enclosure
blue,wordnet_direct_hypernym,barrel,catheter,hose,straw,tube
blue,wordnet_direct_hypernym,lighter,packet,tower,tug,boat
blue,wordnet_direct_hypernym,door,gateway,hatchway,threshold,entrance
blue,wordnet_direct_hypernym,bakery,drugstore,pharmacy,salon,shop
blue,wordnet_direct_hypernym,cabin,cottage,lodge,residence,house
blue,wordnet_direct_hypernym,downfall,sunshine,thawing,warming,weather
blue,wordnet_direct_hypernym,first,low,reverse,transmission,gear
blue,wordnet_direct_hypernym,filling,metallic,pick,pile,thread
blue,wordnet_direct_hypernym,breeze,draft,gale,gust,wind
blue,wordnet_direct_hypernym,cross,patch,spot,stripe,marking
blue,wordnet_direct_hypernym,almond,brazil,coconut,filbert,edible nut
blue,wordnet_direct_hypernym,convertible,coupe,electric,sedan,car
blue,wordnet_direct_hypernym,bomber,grinder,gyro,submarine,sandwich
blue,wordnet_direct_hypernym,bay,box,cockpit,locker,compartment
blue,wordnet_direct_hypernym,buffer,plane,saw,smoother,power tool
blue,wordnet_direct_hypernym,curl,down,eyebrow,mane,hair
blue,wordnet_direct_hypernym,cab,electric,jeep,taxi,car
blue,wordnet_direct_hypernym,bow,fore,nose,stem,front
blue,wordnet_direct_hypernym,berth,bunk,couch,deathbed,bed
blue,wordnet_direct_hypernym,chapel,church,mosque,synagogue,place of worship
blue,wordnet_direct_hypernym,barge,lighter,packet,tender,boat
blue,wordnet_direct_hypernym,butt,discus,hammer,mouthpiece,sports equipment
blue,wordnet_direct_hypernym,bandit,dip,ghoul,robber,thief
blue,wordnet_direct_hypernym,bull,cop,copper,detective,policeman
blue,wordnet_direct_hypernym,bay,hack,pony,sorrel,horse
blue,wordnet_direct_hypernym,crest,cross,device,flag,emblem
blue,wordnet_direct_hypernym,chuck,clinch,holder,jaw,holding device
blue,wordnet_direct_hypernym,aerator,generator,lighting,pendulum,apparatus
blue,wordnet_direct_hypernym,bandit,burglar,ghoul,pirate,thief
blue,wordnet_direct_hypernym,casting,imitation,miniature,toy,copy
blue,wordnet_direct_hypernym,grapefruit,lemon,lime,orange,citrus
blue,wordnet_direct_hypernym,darn,gathering,patch,stitch,sewing
blue,wordnet_direct_hypernym,butt,mat,mouthpiece,spike,sports equipment
blue,wordnet_direct_hypernym,gyro,hamburger,sub,wedge,sandwich
blue,wordnet_direct_hypernym,bull,cop,fuzz,pig,policeman
blue,wordnet_direct_hypernym,beam,glowing,moon,sunshine,light
blue,wordnet_direct_hypernym,beard,curl,eyebrow,pile,hair
blue,wordnet_direct_hypernym,balustrade,breakwater,fence,fender,barrier
blue,wordnet_direct_hypernym,capillary,hose,mouthpiece,piping,tube
blue,wordnet_direct_hypernym,bandstand,runway,scaffold,wharf,platform
blue,wordnet_direct_hypernym,convertible,cruiser,saloon,wagon,car
blue,wordnet_direct_hypernym,branch,cane,cutting,slip,stalk
blue,wordnet_direct_hypernym,compact,convertible,coupe,wagon,car
blue,wordnet_direct_hypernym,brim,curb,milling,rim,edge
blue,wordnet_direct_hypernym,capsule,chair,rumble,saddle,seat
blue,wordnet_direct_hypernym,curl,lash,mane,pile,hair
blue,wordnet_direct_hypernym,booth,console,counter,vanity,table
blue,wordnet_direct_hypernym,ironing,laundry,linen,washing,white goods
blue,wordnet_direct_hypernym,barricade,dam,fender,railing,barrier
blue,wordnet_direct_hypernym,detector,lens,scope,terminal,electronic equipment
blue,wordnet_direct_hypernym,fin,platform,sandal,sneaker,shoe
blue,wordnet_direct_hypernym,aerator,generator,reformer,still,apparatus
blue,wordnet_direct_hypernym,bell,mute,siren,whistle,acoustic device
blue,wordnet_direct_hypernym,committeewoman,director,regent,trustee,committee member
blue,wordnet_direct_hypernym,bomber,grinder,hamburger,wedge,sandwich
blue,wordnet_direct_hypernym,mare,mount,pacer,pony,horse
blue,wordnet_direct_hypernym,bark,cutter,dandy,schooner,sailing vessel
blue,wordnet_direct_hypernym,charcoal,delineation,sketch,trace,drawing
blue,wordnet_direct_hypernym,abstraction,cityscape,landscape,miniature,painting
blue,wordnet_direct_hypernym,batten,pale,picket,slat,strip
blue,wordnet_direct_hypernym,dock,pulpit,ring,stump,platform
blue,wordnet_direct_hypernym,bomber,hero,western,wrap,sandwich
blue,wordnet_direct_hypernym,engine,locomotive,streetcar,trolley,self-propelled vehicle
blue,wordnet_direct_hypernym,biceps,calf,gastrocnemius,pectoralis,skeletal muscle
blue,wordnet_direct_hypernym,buffer,register,storage,store,memory device
blue,wordnet_direct_hypernym,cabinet,car,cockpit,locker,compartment
blue,wordnet_direct_hypernym,bullet,seeker,shot,slug,projectile
blue,wordnet_direct_hypernym,calf,deltoid,gastrocnemius,serratus,skeletal muscle
blue,wordnet_direct_hypernym,derrick,frame,rack,sash,framework
blue,wordnet_direct_hypernym,coconut,filbert,peanut,walnut,edible nut
blue,wordnet_direct_hypernym,bull,captain,cop,inspector,policeman
blue,wordnet_direct_hypernym,bull,detective,inspector,pig,policeman
blue,wordnet_direct_hypernym,butt,hammer,spike,stick,sports equipment
blue,wordnet_direct_hypernym,clamp,holder,jaw,spindle,holding device
blue,wordnet_direct_hypernym,episode,positive,reel,sequence,film
blue,wordnet_direct_hypernym,orderly,redcoat,regular,tanker,soldier
blue,wordnet_direct_hypernym,marine,orderly,rifleman,tanker,soldier
blue,wordnet_direct_hypernym,bedspread,blanket,cover,throw,bedclothes
blue,wordnet_direct_hypernym,console,desk,stand,vanity,table
blue,wordnet_direct_hypernym,cab,car,stall,well,compartment
blue,wordnet_direct_hypernym,boa,muffler,sable,stole,scarf
blue,wordnet_direct_hypernym,amplifier,lens,mixer,telephone,electronic equipment
blue,wordnet_direct_hypernym,conspirator,hoodlum,runner,tough,criminal
blue,wordnet_direct_hypernym,coach,governess,missionary,tutor,teacher
blue,wordnet_direct_hypernym,hack,mount,plug,pony,horse
blue,wordnet_direct_hypernym,basement,foot,foundation,pedestal,support
blue,wordnet_direct_hypernym,coupe,electric,taxi,wagon,car
blue,wordnet_direct_hypernym,collage,likeness,panorama,semblance,picture
blue,wordnet_direct_hypernym,duplication,miniature,modification,toy,copy
blue,wordnet_direct_hypernym,clip,gem,necklace,pin,jewelry
blue,wordnet_direct_hypernym,bastion,castle,dugout,fieldwork,fortification
blue,wordnet_direct_hypernym,cutter,junk,packet,tug,boat
blue,wordnet_direct_hypernym,bay,cabin,cockpit,well,compartment
blue,wordnet_direct_hypernym,hive,hopper,tray,trough,receptacle
blue,wordnet_direct_hypernym,casting,imitation,print,reproduction,copy
blue,wordnet_direct_hypernym,disc,storage,store,tape,memory device
blue,wordnet_direct_hypernym,ambulance,coupe,heap,limousine,car
blue,wordnet_direct_hypernym,carbon,duplication,imitation,print,copy
blue,wordnet_direct_hypernym,journal,number,review,series,periodical
blue,wordnet_direct_hypernym,buffer,recording,stack,store,memory device
blue,wordnet_direct_hypernym,bay,box,cabin,stall,compartment
blue,wordnet_direct_hypernym,casting,duplication,miniature,print,copy
blue,wordnet_direct_hypernym,compact,kit,luggage,shoe,case
blue,wordnet_direct_hypernym,beam,fluorescence,glowing,radiance,light
blue,wordnet_direct_hypernym,deluge,drizzle,shower,torrent,rain
blue,wordnet_direct_hypernym,blueprint,magnification,mosaic,shot,photograph
blue,wordnet_direct_hypernym,grate,rack,sash,truss,framework
blue,wordnet_direct_hypernym,lens,mixer,monitor,processor,electronic equipment
blue,wordnet_direct_hypernym,bandstand,deck,dock,rostrum,platform
blue,wordnet_direct_hypernym,chuck,clamp,clinch,spindle,holding device
blue,wordnet_direct_hypernym,hammer,mouthpiece,saucer,spike,sports equipment
blue,wordnet_direct_hypernym,aerator,lighting,reactor,reformer,apparatus
blue,wordnet_direct_hypernym,grinder,submarine,western,wrap,sandwich
blue,wordnet_direct_hypernym,brochure,catalog,catechism,pamphlet,book
blue,wordnet_direct_hypernym,abdominal,deltoid,lat,serratus,skeletal muscle
blue,wordnet_direct_hypernym,metallic,nap,pick,tinsel,thread
blue,wordnet_direct_hypernym,calm,gust,monsoon,squall,wind
blue,wordnet_direct_hypernym,digger,fireman,hand,miner,laborer
blue,wordnet_direct_hypernym,heaver,lever,rotor,runway,bar
blue,wordnet_direct_hypernym,bolt,heaver,runway,shackle,bar
blue,wordnet_direct_hypernym,jaw,nasal,rib,skull,bone
blue,wordnet_direct_hypernym,captain,inspector,investigator,pig,policeman
blue,wordnet_direct_hypernym,hack,mare,mount,poster,horse
blue,wordnet_direct_hypernym,biceps,calf,pecs,serratus,skeletal muscle
blue,wordnet_direct_hypernym,breakwater,bulwark,dam,grate,barrier
blue,wordnet_direct_hypernym,costume,habit,outfit,rig,attire
blue,wordnet_direct_hypernym,marine,orderly,redcoat,trooper,soldier
blue,wordnet_direct_hypernym,dairy,ranch,spread,vineyard,farm
blue,wordnet_direct_hypernym,poke,purse,sack,saddlebag,bag
blue,wordnet_direct_hypernym,stake,standard,stump,timber,post
blue,wordnet_direct_hypernym,buffer,stack,storage,tape,memory device
blue,wordnet_direct_hypernym,pulpit,rostrum,scaffold,stage,platform
blue,wordnet_direct_hypernym,aisle,corridor,drift,tunnel,passageway
blue,wordnet_direct_hypernym,compact,hack,jeep,limousine,car
blue,wordnet_direct_hypernym,cab,cabinet,cockpit,trunk,compartment
blue,wordnet_direct_hypernym,beaver,fuzz,imperial,stubble,beard
blue,wordnet_direct_hypernym,bark,cutter,sailboat,smack,sailing vessel
blue,wordnet_direct_hypernym,blueprint,frame,magnification,still,photograph
blue,wordnet_direct_hypernym,discus,mat,stick,target,sports equipment
blue,wordnet_direct_hypernym,picket,scout,sentinel,watch,watchman
blue,wordnet_direct_hypernym,buggy,chariot,coach,trap,carriage
blue,wordnet_direct_hypernym,fugitive,hijacker,peddler,pusher,criminal
blue,wordnet_direct_hypernym,cage,niche,pen,pit,enclosure
blue,wordnet_direct_hypernym,brochure,leaflet,pamphlet,reference,book
blue,wordnet_direct_hypernym,abdominal,deltoid,gastrocnemius,pectoralis,skeletal muscle
blue,wordnet_direct_hypernym,heaver,rail,rotor,shackle,bar
blue,wordnet_direct_hypernym,interne,quack,resident,surgeon,doctor
blue,wordnet_direct_hypernym,dais,landing,pulpit,rostrum,platform
blue,wordnet_direct_hypernym,rung,spoke,stave,thwart,crosspiece
blue,wordnet_direct_hypernym,carrier,engine,tractor,trolley,self-propelled vehicle
blue,wordnet_direct_hypernym,parolee,peddler,punk,tough,criminal
blue,wordnet_direct_hypernym,peripheral,scope,telephone,terminal,electronic equipment
blue,wordnet_direct_hypernym,bus,cruiser,heap,limousine,car
blue,wordnet_direct_hypernym,centrifuge,pendulum,still,telegraph,apparatus
blue,wordnet_direct_hypernym,frame,mosaic,shot,still,photograph
blue,wordnet_direct_hypernym,captain,commander,lieutenant,skipper,commissioned naval officer
blue,wordnet_direct_hypernym,cleaner,hand,miner,porter,laborer
blue,wordnet_direct_hypernym,hack,pacer,pony,poster,horse
blue,wordnet_direct_hypernym,cotton,filling,pick,worsted,thread
blue,wordnet_direct_hypernym,dais,landing,pier,runway,platform
blue,wordnet_direct_hypernym,generator,lighting,reactor,telegraph,apparatus
